Point Name,Time Recorded,Gas Temperature,Static Pressure,CH4 Percent,CO2 Percent,O2 Percent,Balance Percent,Date Recorded,TRS,Vacuum In WC
"FRBVC215","9:25 AM","82.0","-4.30","31.9","32.1","1.1","34.9","5/02/2018","","",
"FRBVC191","9:30 AM","81.0","-0.70","21.6","78.3","0.0","0.1","5/02/2018","","",
"FRBVC190","9:33 AM","98.0","-2.30","55.3","44.6","0.0","0.1","5/02/2018","","",
"FRBVC212","9:38 AM","90.0","-6.00","56.2","43.7","0.0","0.1","5/02/2018","","",
"FRBVC211","9:42 AM","104.0","-2.50","55.0","44.9","0.0","0.1","5/02/2018","","",
"FRBVC210","9:47 AM","90.0","-6.10","53.9","46.0","0.0","0.1","5/02/2018","","",
"FB5BCC9S","7:48 AM","86.0","-17.20","26.9","27.4","8.3","37.4","5/03/2018","","",
"FRB00MC2","7:51 AM","75.0","-16.80","24.0","17.0","10.6","48.4","5/03/2018","","",
"FRB00MC7","7:55 AM","75.0","-16.40","55.0","35.7","0.5","8.8","5/03/2018","","",
"FRB00MC8","7:58 AM","76.0","-17.30","58.5","39.1","0.1","2.3","5/03/2018","","",
"FRB5BCB8","8:03 AM","67.0","-13.80","7.7","4.7","18.7","68.9","5/03/2018","","",
"FB5BCC8S","8:06 AM","100.0","-16.70","52.7","39.9","0.4","7.0","5/03/2018","","",
"FB5BCC7S","8:10 AM","108.0","-12.30","44.0","35.7","1.7","18.6","5/03/2018","","",
"FB5BCD6S","8:13 AM","108.0","-16.40","56.8","43.0","0.0","0.2","5/03/2018","","",
"FB5BCC6S","8:17 AM","114.0","-10.60","41.5","30.5","3.6","24.4","5/03/2018","","",
"FB5BCD5S","8:21 AM","113.0","-15.70","56.9","41.9","0.0","1.2","5/03/2018","","",
"FRB5BCE5","8:23 AM","95.0","-16.40","56.0","43.3","0.0","0.7","5/03/2018","","",
"FRB5BCE4","8:26 AM","95.0","-16.00","56.6","42.9","0.0","0.5","5/03/2018","","",
"FRB5BCE3","8:29 AM","106.0","-15.60","56.2","43.3","0.0","0.5","5/03/2018","","",
"FRB5BCE2","8:31 AM","107.0","-15.20","56.2","43.0","0.0","0.8","5/03/2018","","",
"FB5BCC5S","8:35 AM","114.0","-12.60","57.9","40.5","0.1","1.5","5/03/2018","","",
"FB5BCA4E","8:38 AM","93.0","-15.30","58.1","40.0","0.3","1.6","5/03/2018","","",
"FB5BCA5E","8:40 AM","97.0","-15.70","57.4","39.4","0.4","2.8","5/03/2018","","",
"FB5BCC4S","8:44 AM","106.0","-14.60","57.7","40.3","0.0","2.0","5/03/2018","","",
"FB5BCD3S","8:47 AM","109.0","-15.40","56.9","41.8","0.0","1.3","5/03/2018","","",
"FB5BCC3S","8:50 AM","85.0","-15.50","58.4","40.3","0.0","1.3","5/03/2018","","",
"FRB5BCE1","8:53 AM","108.0","-15.00","56.0","43.0","0.0","1.0","5/03/2018","","",
"FB5BCD2S","8:57 AM","113.0","-14.50","56.8","41.7","0.0","1.5","5/03/2018","","",
"FB5BCC2S","8:59 AM","94.0","-15.00","59.2","39.7","0.0","1.1","5/03/2018","","",
"FB5BCC1S","9:02 AM","95.0","-14.20","59.0","39.8","0.0","1.2","5/03/2018","","",
"FRB00MC1","9:05 AM","84.0","-14.40","49.3","35.8","1.6","13.3","5/03/2018","","",
"FRBVC215","9:10 AM","87.0","-4.20","26.6","27.3","3.0","43.1","5/03/2018","","",
"FRBVC103","9:16 AM","101.0","-14.00","55.8","41.8","0.0","2.4","5/03/2018","","",
"FRBVC104","9:18 AM","85.0","-14.10","50.9","39.7","1.3","8.1","5/03/2018","","",
"FRB5DE1S","9:20 AM","85.0","-14.00","23.0","19.5","11.1","46.4","5/03/2018","","",
"FBVC105R","9:26 AM","118.0","-14.50","53.6","44.5","0.0","1.9","5/03/2018","","",
"FRBVC126","9:29 AM","105.0","-12.50","54.5","44.0","0.0","1.5","5/03/2018","","",
"FBVC106R","9:33 AM","109.0","-16.60","54.3","44.5","0.0","1.2","5/03/2018","","",
"FRB05DF1","9:44 AM","82.0","-17.90","46.2","38.6","2.1","13.1","5/03/2018","","",
"FRBVC107","9:47 AM","86.0","-17.70","53.7","44.1","0.3","1.9","5/03/2018","","",
"FRBVC108","9:50 AM","75.0","-17.30","48.8","39.9","1.5","9.8","5/03/2018","","",
"FRB05DF2","9:53 AM","79.0","-16.10","54.8","43.9","0.0","1.3","5/03/2018","","",
"FBVC109R","9:58 AM","72.0","-17.90","36.6","29.9","4.2","29.3","5/03/2018","","",
"FRB05DF3","10:01 AM","82.0","-17.50","49.0","38.5","2.5","10.0","5/03/2018","","",
"FRB05DF4","12:43 PM","81.0","-20.40","51.4","39.1","1.8","7.7","5/03/2018","","",
"FRB5DE5S","12:46 PM","78.0","-20.30","44.9","37.4","2.8","14.9","5/03/2018","","",
"FRB5DE6S","12:48 PM","80.0","-19.10","52.0","41.0","1.2","5.8","5/03/2018","","",
"FRB5DE7S","12:51 PM","80.0","-19.50","47.1","35.5","3.0","14.4","5/03/2018","","",
"FRB05DG4","12:54 PM","116.0","-2.90","47.4","45.8","0.0","6.8","5/03/2018","","",
"FRBVC137","1:05 PM","128.0","-12.70","55.1","44.5","0.0","0.4","5/03/2018","","",
"FRBVC136","1:09 PM","125.0","-8.90","55.0","43.8","0.0","1.2","5/03/2018","","",
"FRBVC135","1:12 PM","128.0","-7.30","55.0","42.5","0.0","2.5","5/03/2018","","",
"FRBVC134","1:16 PM","126.0","-4.20","55.4","42.8","0.0","1.8","5/03/2018","","",
"FRBVC138","1:20 PM","125.0","-4.20","56.5","42.4","0.0","1.1","5/03/2018","","",
"FRB007D1","1:25 PM","118.0","-15.10","54.5","41.9","0.0","3.6","5/03/2018","","",
"FRB007D2","1:27 PM","120.0","-29.90","55.2","43.6","0.0","1.2","5/03/2018","","",
"FRB007D3","1:31 PM","122.0","-29.30","56.1","42.9","0.0","1.0","5/03/2018","","",
"FRB007D4","1:35 PM","119.0","-30.10","55.7","42.8","0.0","1.5","5/03/2018","","",
"FRB5DE6W","1:38 PM","118.0","-29.00","56.7","42.3","0.0","1.0","5/03/2018","","",
"FRB5DE7W","1:42 PM","125.0","-14.90","55.8","43.2","0.0","1.0","5/03/2018","","",
"FRBVC188","1:46 PM","120.0","-4.00","44.0","39.2","0.0","16.8","5/03/2018","","",
"FRBVC189","1:50 PM","126.0","-1.50","49.6","40.9","0.0","9.5","5/03/2018","","",
"FRB7BC4W","1:55 PM","122.0","-17.20","55.1","42.8","0.0","2.1","5/03/2018","","",
"FRB7BC5W","1:57 PM","116.0","-16.80","55.6","42.1","0.0","2.3","5/03/2018","","",
"FRB7BC6W","2:00 PM","116.0","-13.20","55.8","41.9","0.0","2.3","5/03/2018","","",
"FRB007C4","2:08 PM","120.0","-18.10","52.3","42.5","0.0","5.2","5/03/2018","","",
"FRB007C5","2:11 PM","92.0","-2.70","28.1","23.2","8.8","39.9","5/03/2018","","",
"FRB007C6","2:14 PM","103.0","-28.00","54.8","42.1","0.0","3.1","5/03/2018","","",
"FRB07AB4","2:20 PM","85.0","-23.30","15.1","11.7","14.0","59.2","5/03/2018","","",
"FRB07AA5","2:22 PM","103.0","-26.40","56.8","40.6","0.0","2.6","5/03/2018","","",
"FRB07AB5","2:26 PM","106.0","-19.20","46.0","38.8","0.0","15.2","5/03/2018","","",
"FRB07AA6","2:29 PM","87.0","-26.30","56.0","41.5","0.0","2.5","5/03/2018","","",
"FRB07AA7","2:32 PM","105.0","-23.60","47.0","37.8","0.0","15.2","5/03/2018","","",
"FRBVC203","8:31 AM","110.0","-2.80","53.9","45.1","0.2","0.8","5/04/2018","","",
"FRBVC202","8:36 AM","124.0","-5.40","52.9","46.5","0.0","0.6","5/04/2018","","",
"FRBVC211","8:43 AM","109.0","-8.80","57.0","42.9","0.0","0.1","5/04/2018","","",
"FRBVC212","8:49 AM","109.0","-9.20","57.1","42.8","0.0","0.1","5/04/2018","","",
"FRBVC190","8:53 AM","110.0","-2.50","53.9","46.0","0.0","0.1","5/04/2018","","",
"FRBVC191","8:59 AM","99.0","-2.50","25.7","65.8","0.0","8.5","5/04/2018","","",
"FRBVC183","9:06 AM","104.0","-1.60","35.7","63.7","0.0","0.6","5/04/2018","","",
